date,GLD,IEF,SPY,USO,UUP
2009-08-27,0.004311,-0.002736,0.002229,0.020839,-0.005563
2009-08-28,0.007297,0.002305,-0.000193,-0.001591,0.001721
2009-08-31,-0.005007,0.002956,-0.008899,-0.042751,-0.000859
2009-09-01,0.005353,-0.000218,-0.022057,-0.021637,0.006449
2009-09-02,0.024388,0.00546,-0.003792,-0.002552,-0.003845
2009-09-03,0.013203,-0.003584,0.008315,0.00398,0.000858
2009-09-04,0.000708,-0.005995,0.014009,-0.005379,-0.003856
2009-09-08,-0.001015,-0.002303,0.008622,0.051523,-0.011183
2009-09-09,-0.003592,0.000879,0.007674,0.0,-0.00348
2009-09-10,0.006386,0.007467,0.010219,0.011641,-0.002182
2009-09-11,0.011054,0.002943,-0.000191,-0.041477,-0.002187
2009-09-14,-0.008301,-0.005825,0.004868,-0.003071,-0.000877
2009-09-15,0.009596,-0.002121,0.004179,0.027723,-0.00351
2009-09-16,0.010212,-0.000767,0.015134,0.019891,-0.003082
2009-09-17,-0.005705,0.004933,-0.001491,0.001603,0.001767
2009-09-18,-0.006744,-0.005345,-0.004106,-0.009869,0.003527
2009-09-21,-0.003142,-0.000658,-0.00253,-0.034213,0.003515
2009-09-22,0.013318,0.002634,0.005824,0.03152,-0.010508
2009-09-23,-0.008428,0.002189,-0.008312,-0.050027,0.004425
2009-09-24,-0.012952,0.00273,-0.011019,-0.03302,0.007489
2009-09-25,-0.005638,0.00403,-0.005333,0.000883,-0.002624
2009-09-28,0.000515,0.001736,0.017903,0.015,0.003069
2009-09-29,0.003915,-0.000433,-0.00301,-0.005795,0.001748
2009-09-30,0.014575,0.000758,-0.003868,0.054794,-0.005672
2009-10-01,-0.009712,0.004763,-0.024529,0.001105,0.007021
2009-10-02,0.004903,-0.000431,-0.004951,-0.009937,-0.002179
2009-10-05,0.01474,-0.000108,0.014928,0.008642,-0.005677
2009-10-06,0.024644,-0.003234,0.014324,0.00995,-0.004392
2009-10-07,0.000792,0.006381,0.002749,-0.015873,0.000882
2009-10-08,0.012495,-0.003654,0.007656,0.020022,-0.006611
2009-10-09,-0.007719,-0.0096,0.006097,0.013086,0.007986
2009-10-12,0.007001,0.00294,0.003916,0.014263,-0.004401
2009-10-13,0.006759,0.00228,-0.002043,0.012205,-0.00221
2009-10-14,-0.000767,-0.006826,0.017216,0.012058,-0.007532
2009-10-15,-0.01267,-0.003273,0.003659,0.03367,0.000446
2009-10-16,0.003111,0.004597,-0.007474,0.01353,0.002677
2009-10-19,0.010176,0.001525,0.008265,0.007664,-0.004895
2009-10-20,-0.007771,0.002284,-0.005274,-0.009078,0.004472
2009-10-21,0.003143,-0.002279,-0.008983,0.023273,-0.006233
2009-10-22,0.001687,-0.002937,0.010164,0.003387,-0.000448
2009-10-23,-0.004138,-0.004909,-0.011433,-0.013504,0.005379
2009-10-26,-0.01575,-0.005711,-0.010825,-0.019066,0.006687
2009-10-27,-9.8e-05,0.008611,-0.004583,0.011463,0.002569
2009-10-28,-0.010997,0.003061,-0.018887,-0.027839,0.004064
2009-10-29,0.019438,-0.004796,0.021454,0.036493,-0.007039
2009-10-30,-0.001539,0.007447,-0.028973,-0.038631,0.00576
2009-11-02,0.01385,-0.005446,0.007339,0.016531,-0.003524
2009-11-03,0.024146,-0.002308,0.003163,0.016262,0.002652
2009-11-04,0.006012,-0.002754,0.00258,0.009109,-0.007496
2009-11-05,-0.00112,0.000221,0.018396,-0.004635,0.019103
2009-11-06,0.004206,0.002982,0.00262,-0.026961,-0.004795
2009-11-09,0.007074,0.00044,0.022776,0.020151,-0.012703
2009-11-10,0.001849,0.00077,0.000183,-0.002222,-0.004437
